Headlines:,Links:,Sentiment:,Hour:
Tesla rolls out a 175 MPH 'Plaid Track Mode' update for the Model S and a Carbon Ceramic Brake Kit to match,https://news.google.com/articles/CBMilQFodHRwczovL3d3dy5ub3RlYm9va2NoZWNrLm5ldC9UZXNsYS1yb2xscy1vdXQtYS0xNzUtTVBILVBsYWlkLVRyYWNrLU1vZGUtdXBkYXRlLWZvci10aGUtTW9kZWwtUy1hbmQtYS1DYXJib24tQ2VyYW1pYy1CcmFrZS1LaXQtdG8tbWF0Y2guNTkwOTI0LjAuaHRtbNIBAA?hl=en-SG&gl=SG&ceid=SG%3Aen,1.0000000149011612,2
Covid Crook Gives Up Millions Made Buying Tesla With Stolen Cash,https://news.google.com/articles/CBMifGh0dHBzOi8vbmV3cy5ibG9vbWJlcmdsYXcuY29tL3doaXRlLWNvbGxhci1hbmQtY3JpbWluYWwtbGF3L2NvdmlkLWNyb29rLWdpdmVzLXVwLW1pbGxpb25zLW1hZGUtYnV5aW5nLXRlc2xhLXdpdGgtc3RvbGVuLWNhc2jSAQA?hl=en-SG&gl=SG&ceid=SG%3Aen,2.0000000298023224,2
Maya Rudolph Shaken After Crashing Tesla Into Tree,https://news.google.com/articles/CBMiUGh0dHBzOi8vcmFkYXJvbmxpbmUuY29tL3AvbWF5YS1ydWRvbHBoLXNoYWtlbi1jYXItY3Jhc2gtdGVzbGEtdHJlZS13cmVjay1waG90b3Mv0gEA?hl=en-SG&gl=SG&ceid=SG%3Aen,-6.000000238418579,2
Moderna’s boosted valuation has Tesla-like spin,https://news.google.com/articles/CBMiV2h0dHBzOi8vYmRuZXdzMjQuY29tL2J1c2luZXNzLzIwMjIvMDEvMDcvbW9kZXJuYXMtYm9vc3RlZC12YWx1YXRpb24taGFzLXRlc2xhLWxpa2Utc3BpbtIBNWh0dHBzOi8vbS5iZG5ld3MyNC5jb20vYW1wL2VuL2RldGFpbC9idXNpbmVzcy8xOTk2NDEw?hl=en-SG&gl=SG&ceid=SG%3Aen,5.0,2
"Weekend reads: When tech stocks fade, where do you go?",https://news.google.com/articles/CAIiEGtF4BtjocvHdONbfO7tdQ8qGAgEKg8IACoHCAowjujJATDXzBUwuJS0AQ?uo=CAUiYWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS93ZWVrZW5kLXJlYWRzLXdoZW4tdGVjaC1zdG9ja3MtZmFkZS13aGVyZS1kby15b3UtZ28tMTE2NDE1NzQ1MzDSAQA&hl=en-SG&gl=SG&ceid=SG%3Aen,-2.0000000298023224,2
Auto News | ⚡Tesla Make Record Sales in UK in 2021,https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmxhdGVzdGx5LmNvbS9xdWlja2x5L2F1dG8vdGVzbGEtbWFrZS1yZWNvcmQtc2FsZXMtaW4tdWstaW4tMjAyMS0zMjMzMDM2Lmh0bWzSAVhodHRwczovL3d3dy5sYXRlc3RseS5jb20vcXVpY2tseS9hdXRvL3Rlc2xhLW1ha2UtcmVjb3JkLXNhbGVzLWluLXVrLWluLTIwMjEtMzIzMzAzNi5odG1s?hl=en-SG&gl=SG&ceid=SG%3Aen,1.0000000149011612,2
Stock Market Rally Under Pressure As Bond Yields Hit Pandemic High: Weekly Review,https://news.google.com/articles/CAIiEPLyGMtYLzVCWVi5kJP7oCcqGQgEKhAIACoHCAowzpuGCzCQ9YMDMOT8twY?uo=CAUiYmh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9zdG9jay1tYXJrZXQtcmFsbHktdW5kZXItcHJlc3N1cmUtYXMtYm9uZC15aWVsZHMtaGl0LXBhbmRlbWljLWhpZ2gv0gEA&hl=en-SG&gl=SG&ceid=SG%3Aen,1.0000000149011612,2
"Unmanned Vehicles Market Outlook 2021 Analysis by Leading Keyplayers | Apple Inc.,Baidu Inc.,Tesla Motors,Inc. – Industrial IT",https://news.google.com/articles/CBMihQFodHRwczovL2luZHVzdHJpYWxpdC5jb20uYXUvdW5tYW5uZWQtdmVoaWNsZXMtbWFya2V0LW91dGxvb2stMjAyMS1hbmFseXNpcy1ieS1sZWFkaW5nLWtleXBsYXllcnMtYXBwbGUtaW5jLWJhaWR1LWluYy10ZXNsYS1tb3RvcnNpbmMv0gEA?hl=en-SG&gl=SG&ceid=SG%3Aen,1.0000000149011612,2
There's no evidence electric vehicles fare worse than gas-powered cars in long traffic jams,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnBvbGl0aWZhY3QuY29tL2ZhY3RjaGVja3MvMjAyMi9qYW4vMDcvZmFjZWJvb2stcG9zdHMvdGhlcmVzLW5vLWV2aWRlbmNlLWVsZWN0cmljLXZlaGljbGVzLWZhcmUtd29yc2UtZ2Ev0gEA?hl=en-SG&gl=SG&ceid=SG%3Aen,-6.9999998807907104,2
Tesla's sales help UK reach new electric market share milestone,https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmdsYW1zaGFtLmNvbS93b3JsZC9zcG9ydHMvdGVzbGFzLXNhbGVzLWhlbHAtdWstcmVhY2gtbmV3LWVsZWN0cmljLW1hcmtldC1zaGFyZS1taWxlc3RvbmUtMtIBamh0dHBzOi8vd3d3LmdsYW1zaGFtLmNvbS93b3JsZC9zcG9ydHMvdGVzbGFzLXNhbGVzLWhlbHAtdWstcmVhY2gtbmV3LWVsZWN0cmljLW1hcmtldC1zaGFyZS1taWxlc3RvbmUtMi9hbXA?hl=en-SG&gl=SG&ceid=SG%3Aen,3.0000001192092896,2
